Country,Answers,Average,St. Dev.,Median,MAX,MIN,CV
United States of America,1175,"5,6%","1,8%","5,5%","17,0%","2,2%","31,9%"
Spain,371,"6,4%","1,8%","6,4%","12,0%","2,5%","27,7%"
Argentina,35,"14,9%","2,0%","14,3%","20,0%","12,0%","13,1%"
Australia,54,"6,5%","1,9%","6,1%","14,0%","3,0%","29,0%"
Austria,139,"6,1%","1,5%","6,3%","12,0%","3,0%","24,7%"
Belgium,145,"6,2%","1,5%","6,3%","12,0%","3,0%","24,5%"
Bolivia,24,"8,8%","2,2%","8,8%","11,3%","6,2%","25,5%"
Brazil,58,"8,2%","2,2%","8,7%","11,3%","2,0%","26,6%"
Bulgaria,28,"8,1%","0,8%","8,0%","10,0%","6,0%","9,5%"
Canada,60,"5,8%","1,4%","5,8%","12,0%","3,1%","24,8%"
Chile,42,"6,3%","0,8%","6,4%","7,4%","4,0%","12,2%"
China,58,"7,5%","3,2%","6,9%","17,0%","3,0%","43,1%"
Colombia,30,"7,7%","1,3%","8,1%","9,1%","4,0%","16,9%"
Croatia,27,"9,5%","0,7%","9,8%","10,4%","7,8%","7,4%"
Czech Republic,32,"6,3%","0,6%","6,3%","7,3%","5,4%","9,3%"
Denmark,135,"6,0%","1,5%","6,0%","12,0%","3,0%","25,3%"
Ecuador,26,"11,2%","3,6%","8,3%","15,4%","7,5%","31,8%"
Egypt,23,"13,7%","1,3%","13,3%","15,7%","11,8%","9,4%"
Estonia,49,"6,0%","2,1%","5,2%","12,0%","3,0%","35,7%"
Finland,65,"6,2%","1,5%","6,3%","12,0%","3,0%","23,9%"
France,175,"6,0%","1,6%","6,1%","12,0%","0,6%","27,4%"
Germany,239,"5,7%","1,7%","5,7%","12,0%","2,5%","29,9%"
Greece,30,"15,4%","3,8%","15,3%","24,0%","6,0%","24,5%"
Hungary,32,"7,9%","1,7%","8,5%","9,4%","2,8%","21,8%"
Hong Kong,22,"6,3%","0,9%","6,3%","9,0%","4,0%","14,4%"
India,48,"8,3%","2,0%","8,3%","15,0%","5,0%","23,6%"
Indonesia,26,"9,0%","1,0%","8,9%","13,0%","8,0%","11,0%"
Iran,13,"11,2%","4,1%","10,6%","19,0%","6,0%","36,7%"
Ireland,60,"6,0%","1,5%","6,1%","12,0%","3,0%","25,8%"
Israel,32,"6,4%","0,7%","6,6%","7,3%","5,0%","11,6%"
Italy,182,"6,3%","1,7%","6,1%","12,0%","2,5%","26,7%"
Japan,54,"6,1%","1,6%","6,1%","10,0%","3,0%","26,1%"
South Korea,26,"6,6%","0,6%","6,6%","9,0%","5,0%","9,4%"
Lebanon,22,"11,5%","4,0%","14,6%","15,5%","5,0%","34,4%"
Luxembourg,83,"6,1%","1,4%","6,2%","12,0%","3,0%","23,6%"
Malaysia,19,"7,1%","0,6%","7,2%","8,1%","6,1%","8,5%"
Mauritius,14,"8,7%","1,1%","9,0%","11,0%","6,0%","13,0%"
Mexico,72,"8,3%","2,6%","7,7%","16,0%","5,3%","30,9%"
Montenegro,15,"10,4%","2,4%","12,0%","12,6%","6,0%","23,0%"
Netherlands,155,"6,0%","1,4%","6,0%","12,0%","3,0%","24,0%"
New Zealand,32,"5,9%","0,4%","5,9%","7,0%","5,3%","6,2%"
Nigeria,28,"10,9%","3,1%","11,1%","15,3%","4,1%","28,1%"
Norway,139,"6,0%","1,5%","6,0%","12,0%","3,0%","25,0%"
Panama,26,"7,8%","0,9%","7,7%","9,0%","5,5%","11,9%"
Pakistan,9,"12,6%","3,5%","14,8%","15,3%","6,0%","27,9%"
Peru,38,"7,5%","0,9%","7,6%","10,0%","5,5%","12,5%"
Phillipines,24,"7,1%","1,6%","7,1%","9,1%","5,0%","22,4%"
Poland,42,"6,6%","0,8%","6,9%","9,0%","5,0%","12,5%"
Portugal,40,"7,5%","1,5%","7,7%","9,3%","4,0%","19,9%"
Qatar,24,"6,8%","0,6%","6,9%","9,0%","5,0%","9,3%"
Romania,28,"7,7%","1,2%","7,2%","9,4%","5,4%","16,1%"
Russia,30,"8,5%","1,2%","8,5%","10,1%","5,5%","13,7%"
Saudi Arabia,28,"7,0%","0,6%","7,1%","9,0%","5,0%","9,1%"
Serbia,27,"9,6%","1,6%","10,5%","11,4%","6,0%","16,6%"
Singapore,21,"5,6%","0,7%","5,5%","8,0%","4,8%","12,4%"
Slovakia,22,"6,6%","0,6%","6,6%","7,5%","5,7%","9,1%"
Slovenia,30,"7,6%","0,8%","7,6%","9,5%","5,0%","10,6%"
South Africa,24,"8,4%","0,9%","8,3%","11,0%","6,9%","11,2%"
Sri Lanka,20,"10,1%","2,2%","10,1%","12,9%","7,3%","21,5%"
Sweden,139,"6,1%","1,5%","6,1%","12,0%","3,0%","24,8%"
Switzerland,150,"6,2%","1,5%","6,0%","12,0%","3,0%","24,4%"
Taiwan,34,"6,1%","1,3%","6,3%","8,0%","3,0%","20,7%"
Thailand,26,"8,2%","0,7%","8,2%","11,0%","6,7%","9,0%"
Turkey,36,"9,6%","2,5%","9,4%","15,5%","5,5%","25,6%"
Ukraine,26,"13,0%","3,3%","10,4%","16,9%","9,5%","25,2%"
United Arab Emirates,28,"7,4%","0,8%","7,7%","8,6%","5,9%","10,2%"
United Kingdom,86,"6,2%","2,3%","6,0%","15,0%","2,3%","37,9%"
Uruguay,28,"8,4%","0,3%","8,4%","9,0%","7,7%","4,1%"
Venezuela,14,"23,7%","4,6%","20,4%","30,8%","19,1%","19,4%"